Year,Population,GDP,"Children out of school, primary, female","Children out of school, primary, male","School enrollment, primary (% net)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Primary completion rate, tota"
1991,1845101737,7.18E+11,5250106,1976686,95.90189362,4.330111384,97.67865753
1992,1869217918,8.05E+11,5290394,1832621,96.00904846,3.994748158,95.44682312
1993,1892440716,8.83E+11,5908374,2746830,95.24804688,4.11209814,96.92395782
1994,1915670711,1.06E+12,6746412,3823589,94.35645294,4.399163503,98.64605713
1995,1938715324,1.31E+12,7891425,5538163,93.08351135,4.159911455,95.91346741
1996,1961419043,1.51E+12,8666863,7152457,92.14665985,4.221236244,92.5647583
1997,1983653425,1.56E+12,4984283,3232385,91.52348328,4.29777262,91.12193298
1998,2005143552,1.43E+12,7603272,7041638,92.96675873,4.694678882,91.59984589
1999,2025300644,1.57E+12,5781450,5712971,94.32215118,4.765915705,92.14707184
2000,2044496088,1.73E+12,5362776,5238904,94.5199585,4.61320105,92.88863373
2001,2063002418,1.84E+12,4708577,4610479,94.79714966,4.842983851,93.73862457
2002,2080534724,2.04E+12,2533860,2385143,96.86055756,4.83749895,93.11819458
2003,2097265008,2.31E+12,2718400,2401615,96.61250305,4.802935688,93.17805481
2004,2113465324,2.68E+12,2844816,3810984,96.58364868,4.793940509,93.05422211
2005,2129445086,3.10E+12,4697266,4546577,94.50097656,4.656573964,92.76780701
2006,2145245494,3.73E+12,4960987,4853949,94.19425964,4.461745252,92.37825775
2007,2160431752,4.72E+12,3863703,3887546,95.09616852,4.155916879,92.89234924
2008,2175832008,5.97E+12,3726941,3714047,95.16268158,4.476357878,99.0191803
2009,2190811045,6.48E+12,3380772,3346456,95.47467804,4.524627237,101.7425156
2010,2205614879,7.86E+12,3041212,3466139,95.57801056,4.368251465,103.6856003
2011,2220357890,9.61E+12,2635237,3533197,95.75898743,4.388737435,102.7287216
2012,2235430359,1.07E+13,2867453,3385570,95.70748138,4.312277555,103.0503311
2013,2250552199,1.18E+13,3055246,3612136,95.45892334,4.36388031,101.6248474
2014,2265898057,1.27E+13,3086232,3402434,95.57131958,4.341355802,98.16068268
2015,2281203360,1.32E+13,2187903,2471336,66.8679,4.326251337,70.17429
2016,2296786207,1.35E+13,1531532,1729935,46.8075,4.275715705,63.8586
1995,856352861,4.627900124,1659277,5538163,93.99196625,9.828093445,94.86871338
1996,857652703,4.539809942,1593866,7152457,94.35742188,10.00712165,94.94882202
1998,860236344,4.445849895,1289075,7041638,94.93813324,10.43384556,95.40206146
1999,861380105,4.53071022,1163655,5712971,95.19380188,10.32673147,95.38450623
2000,862304084,4.177979946,973582,5238904,95.52864075,9.6005957,95.68315125
2001,863615633,4.684850216,741082,4610479,96.44409943,8.971098148,97.58200073
2002,865196877,4.582509995,599874,2385143,97.02792358,8.980902732,97.88231659
2003,867457662,4.978279829,667794,2401615,96.7620697,9.043497244,97.60158539
2004,870030758,4.855050087,672664,3810984,96.67671967,9.075855691,97.92790985
2005,872661621,4.944400072,859836,4546577,95.49445343,8.692707256,98.19769287
2006,875343230,4.949029922,814528,4853949,95.49626923,8.134166268,96.98646545
2007,878465992,4.714854956,772642,3887546,95.44484711,7.264761474,96.81158447
2008,881965816,4.975919962,706674,3714047,95.77707672,7.189148239,97.23631287
2009,885591693,5.17166996,716600,3346456,95.59220886,9.018513755,97.84712219
2010,889016221,5.349910021,639105,3466139,96.04976654,9.09469238,98.32958984
2011,891094964,5.006710052,623363,3533197,96.19075012,8.856350923,98.89414978
2012,894666669,4.9302001,638992,3385570,96.02432251,9.062029054,98.30784607
2013,898855113,5.176829815,622427,3612136,96.17382813,9.289535724,98.86994171
2014,903094668,5.125589848,691112,3402434,95.93261719,9.005791244,99.13819885
2015,907424836,3.55722,468755,2471336,67.1967,8.606382726,69.0088
2016,911995305,2.49005,328128,1729935,47.0377,8.187365018,48.3062
2006,567825874,3.892280102,1445958,1793005,93.03942871,8.790845639,98.18593597
2007,574999132,3.841855049,1576944,1915925,92.70594788,8.21927759,98.98127747
2008,582185012,4.841169834,1340258,1390850,93.99771881,7.716829288,98.849823
2009,589352524,5.468530178,1228925,1450216,94.00332642,8.234382596,98.96623993
2010,596477846,4.825489998,1226388,1387085,94.16692352,7.653786513,99.0078125
2011,603534610,4.726890087,1243486,1325858,94.16317749,7.15255586,99.17036438
2001,323196354,6.20182991,3421650,2150596,86.05251312,12.76337048,83.54445648
2004,342046777,5.358329773,2300510,1293943,89.97805023,12.09639988,89.74211884
2006,356287693,4.210145116,2131954,1203423,90.50293732,10.98365668,87.86798859
2008,371999662,4.474750042,1739063,1008845,92.03161621,10.04479742,91.4865036
1991,1157821722,2.566590071,26548968,11917784,73.15711212,4.055904637,64.98278046
1992,1183034707,1.79661,26316610,12051777,73.46179199,4.103897887,65.9699707
1993,1208411907,1.25763,25075106,11805851,74.59281921,3.998827272,66.87302399
1994,1233869424,0.88034,23990368,11539858,75.5096817,3.76244935,67.80757904
1995,1259358616,0.61624,23936300,11690514,75.40206146,4.080821049,68.73988342
1996,1284818746,0.43137,23741640,11804024,75.33556366,3.99567517,68.34614563
1997,1310234107,3.022550106,23814700,12018832,75.06652832,4.612033283,67.96395874
1998,1335633730,3.045389891,24741250,12567305,74.05799103,4.110921494,67.59410858
1999,1361053702,2.750509977,23924004,12406698,74.46005249,4.373082906,67.27161407
2000,1386504523,2.548155069,22010168,11633846,75.85462189,4.38462025,69.61839294
2001,1411993292,1.54302,21479282,12083707,75.94467163,4.072521524,70.31645966
2002,1437450586,1.08012,20409804,12006945,76.62359619,4.480023168,73.13913727
2003,1462776158,3.117360115,14178624,11319331,80.73358154,4.409877167,76.55578613
2004,1487832276,2.560054958,12183112,9223182,83.16342163,4.304073387,78.86849213
2005,1512521166,3.135930061,10616184,7720138,84.94335938,4.719355248,81.24411774
2006,1536799012,2.859920025,9154964,6787247,86.29373169,4.547652677,83.16537476
2007,1560689001,2.634040117,7420856,5335402,88.07945251,3.938970381,85.17907715
2008,1584247163,2.746170044,6812397,6241552,87.73699188,4.129535052,87.08374023
2009,1607562312,2.600009918,6736204,7527394,87.84220886,4.196138415,88.66176605
2010,1630729920,3.424160004,6446478,6582651,88.24954987,3.893823203,88.46286774
2011,1653756466,2.827985048,6528379,7234398,87.76605225,3.928348225,88.11724091
2012,1676614288,2.351320028,6140726,6070321,88.63703918,3.978054794,89.93140411
2013,1699306053,2.983924985,5893541,5751780,88.94777679,3.974627475,91.24811554
2014,1721840539,3.122315049,5854643,5467766,89.16159058,3.87526209,91.33054352
2015,1744190704,2.982139945,4604510,4349329,61.8089,3.8700355,62.57
2016,1766383450,2.03856,3223157,3044530,43.2663,3.84816092,43.8
2000,669818179,3.174814939,23909532,20294914,59.59593964,8.359351804,53.87765884
2001,687543926,3.474159956,23333958,19828284,61.25828171,8.654429298,55.50556183
2002,705929159.9,3.215810061,22969328,19411734,62.71384811,8.434243144,56.77761459
2004,744542424,3.633330107,21398548,18195180,66.77107239,7.968675326,59.14257431
2005,764866591.2,3.636250019,20490016,17359274,68.96266937,7.957007012,61.38932419
2006,785905014.5,3.747434974,19707104,16935232,70.66809845,7.81337434,64.20191193
2008,830111000.3,3.607715011,18696808,15372570,74.27707672,7.722637031,64.74175262
2009,853238652.1,4.082415104,18807628,15695638,74.55190277,7.83504318,66.9683609
2010,877023136.4,3.83660996,19238428,16276876,74.46685028,7.75198345,68.18325806
2011,901455755.4,3.89921999,18880256,15807331,75.73429108,7.772152527,68.06013489
2012,926548177.1,4.089749813,18580164,15712629,76.59204102,7.623278368,68.26303864
2013,952278631.6,4.500510216,18483448,15551901,77.48657227,7.497227206,68.23576355